subj,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
10,0.38099143,-1.537602301,-1.364899607,-2.705495107,1.768202878,3.273525794,-0.408135823,2.255686904,-0.020427599,0.139563952,-1.935881372,-2.782901196,-3.725122956,-1.909307499,-4.741236791,-1.338495199,-4.482985612,-2.015676506,-5.36549537,-5.109880761,-4.822770761,-4.254491903,-1.948276503,2.087483314,2.353339804,0.861253525,0.650913984,0.501157184,2.669253399,1.923153228,1.342150217,2.434339553,1.214997915,-5.276878581,-5.965489919,-7.66371171,-2.803642756,-1.953042926,-1.339819038,-1.252175556,3.149568791,7.239634451,1.68253222,2.903538504,2.675332962,4.144701866,3.284053184,7.913205755,4.479400657,10.78071572,3.405188178,0.724314239,1.611988893,1.035800129,-3.556053152,-2.12066567,-3.836508413,-4.751028317,-5.308974634,-3.90908706,-0.006733417,-3.766311712,-2.762324972,-1.271761137,-0.984828291,2.082705798,4.537970918,5.660581203,2.665045089,1.315500024,0.3478305,2.054132694
3,0.713168064,4.535653649,4.130882771,-0.865835086,3.07969575,5.672042688,1.567774259,5.090789609,-0.205389333,-2.490741709,-6.026927642,2.320508842,0.638580037,-1.874689499,-4.448217028,-0.083813887,-8.976048026,6.14311059,-0.987773138,-1.097689713,0.078643862,-1.412045688,-0.718457726,3.218883944,3.759774313,5.018655334,2.623248562,2.687242638,1.877553448,1.209202006,3.49894273,-6.994544403,-2.38203477,-6.796144679,-2.442369992,-4.13475495,-1.394277621,4.838551291,2.577637214,1.026770511,10.05131343,3.757407125,-0.329424747,1.351241748,2.077628868,5.030003947,7.176406746,4.347312166,0.069003239,4.817811072,6.098002038,-1.327513824,1.143625235,-1.419378831,-8.311188901,-2.835579569,-1.397381127,-3.445707703,-2.150285223,-0.869944861,-3.573121769,-6.363204922,-4.068896201,0.545028819,-0.690205406,1.989402306,2.293443187,-3.102279702,-3.082602072,-6.005033648,-4.678423376,1.920330917
6,0.061825168,-0.805919662,3.1932399,1.810146966,3.163327019,5.341887989,1.06278618,3.374564028,0.973945111,1.467783113,-1.587304251,-1.575381855,-3.613098349,-2.185835719,-3.657337216,-0.749038012,-0.421604761,1.369135553,0.671832098,-0.697169156,-2.213828822,-1.114556725,3.602419349,3.664742107,1.907987423,2.279478666,0.270063961,-0.020806399,4.628469127,2.396280019,3.777275427,-1.693083529,-1.722427667,-0.792711428,-1.658867031,-4.072396636,-1.596849371,1.129212979,1.306720446,0.936894926,7.983271276,5.190022376,2.124064364,4.113139125,2.912682553,3.90575952,4.048627863,5.007846869,1.043810837,7.507781938,6.13738303,1.663936174,3.285907327,-1.730742766,-1.354156562,0.563337278,0.059050801,-2.377460044,-2.381063821,-0.49188313,0.675081841,-1.478549956,0.714858293,3.552026971,-1.215133946,1.231351662,0.355505297,2.059585718,-1.798251201,-5.49409513,-2.017007636,-1.72953601
5,2.865555286,0.328549773,2.424414289,1.164910723,2.870024573,1.089358059,-0.873311312,2.730087461,-1.257262541,-0.648257822,-1.389861602,-0.608427924,-2.618720676,-1.781091103,-3.09241144,1.119846449,-3.440131386,0.369466077,-2.613630818,-1.575091015,-1.223499607,-1.245645438,1.784846365,3.073221541,1.499330439,0.574193823,0.942171807,0.289537622,4.860944697,0.642776534,2.209032143,-2.142771821,0.638825007,-6.382226212,-0.102360865,-2.20511556,-0.769132522,1.627343214,3.035393454,2.07399048,1.761294424,3.826509103,-0.319005069,1.631649262,1.365687698,0.15229113,2.710985136,3.942080612,-0.270574508,5.13934176,0.883523838,-2.025080342,-1.09378046,-4.720824601,-3.403908721,-0.647592063,-1.624182657,-0.742480267,-1.868283079,-0.597595488,2.843242032,-0.690769678,-0.489296705,1.467180876,-2.059052225,2.635452295,2.60891302,0.552812416,-0.950741786,-1.964933305,-1.00749659,1.838214334
21,0.364675895,0.103341075,2.087264853,0.98431991,1.446783559,1.059926173,-1.137525066,0.675396823,-1.087283268,0.256826223,-2.147176999,-0.239159354,-2.345110509,-1.762941322,-3.64039709,0.178964732,-2.537957358,2.319964125,-1.392245389,-1.324992174,-0.451902603,0.451982461,2.086581875,5.234761792,0.895115647,0.143329335,-0.130913527,1.348538163,3.904599823,0.494403092,4.06159492,-1.900041624,-0.081929177,-7.433243691,-1.174755186,-2.808576657,-1.196404659,2.8388262,0.837106453,1.561718162,3.864622216,4.904056352,-0.611783201,2.723857038,3.019929541,1.82120136,2.086705448,4.716971634,0.505596888,6.097630641,-4.851865083,-3.595476892,-0.820362996,-4.734371666,-2.793950112,-1.071616675,-0.4189503,-1.434498642,-2.81323078,-0.414985213,-0.663243835,-1.913272466,-0.790377565,1.360714147,-0.873818855,3.604579794,1.71044685,0.252142073,-1.423519058,-0.552645424,-0.247119942,0.361709395
37,1.476817088,0.118648814,1.762236288,0.200019148,2.175037482,0.42459876,-1.28028357,2.005135565,-0.158732485,-0.165683447,-1.955281508,-2.071649605,-3.755606309,-0.350223249,-4.371262486,0.243152442,-2.418697198,1.996469319,-3.131152467,-2.413965104,-1.397167493,-0.81084889,2.011036371,4.193623753,0.579767761,0.448640484,-0.692882597,-0.286537281,2.453015174,1.551326613,4.480438607,-0.70118617,0.287663453,-2.76365541,-0.949935745,-1.856075624,0.003655797,1.262319631,0.542373996,1.336682726,5.902923245,2.655351103,-0.246509547,1.343890795,1.219679694,0.882536826,2.033274953,4.060727063,0.46394385,5.229297204,-0.136407597,-1.280281123,-0.886851889,-5.597702648,-3.716648169,-0.347830332,-0.472175503,-0.790500614,-3.34116216,-0.604920574,-1.899547204,-2.595340192,0.076886631,2.158674727,-0.530535552,2.721192278,1.563501211,1.532561176,-1.116529126,-2.117979001,-0.687627141,1.535838611
19,2.19671576,1.709974223,2.154341127,-1.138594847,-0.377485383,1.221636285,0.583124919,3.794140633,1.599274507,2.120431111,-1.158431581,-0.43236417,-3.749245768,-2.90880798,-4.946470316,-2.306887087,-4.869527262,-2.130558111,-5.500579567,-3.251679813,-4.127359976,-5.287823726,-0.874721764,3.381173132,2.165651717,2.695998549,1.894947576,1.031382972,4.272817361,1.529079327,4.006370844,1.090851378,2.025547366,-3.559856313,-1.841019037,-2.267576776,-1.724480331,-1.262092578,-1.789009935,-0.140589511,4.446695827,7.792156004,2.520881384,2.614132852,2.554686662,2.363558461,2.321193543,6.178672532,1.940363094,6.237201581,2.046493373,-0.516814757,0.539998928,-5.734062508,-7.025103752,-2.780568414,-1.534420256,-4.341457041,-4.237220735,-2.381315714,-1.757341426,-4.672016886,-2.096766034,-0.468498626,-0.054850963,2.726786584,3.133955008,4.829818286,0.928816979,-1.831452226,-0.58965337,0.719281928
1,0.812796953,-0.176776071,3.55606861,0.512814163,1.78833551,0.886104362,-0.539661762,2.865702,-0.55596448,0.84638802,-2.60350028,-0.193992689,-2.636738881,0.458980891,-3.74783759,0.609507118,-2.358965276,0.589215379,-4.988845762,-1.686800252,-1.094734593,-1.590470043,3.405317182,5.968354254,1.643772774,0.615176318,0.029574386,-0.599504007,2.238409944,0.422711071,1.942808148,-1.848055419,0.593477054,-4.309255815,-0.250002949,-2.245916831,-0.309464546,1.409775289,1.186277979,1.452311391,6.70565609,2.936853638,-2.122117028,1.234391817,1.468269322,1.002550781,1.206859324,2.844316468,0.003322114,6.633997737,1.946151306,-2.933759626,-2.37512136,-5.177139401,-3.913709898,-0.265966753,-0.657815339,-0.293426527,-2.459259348,-0.188953759,-0.613528916,-2.959880883,-0.348544605,1.876239257,1.406267033,2.064366324,1.493061704,1.411614489,-0.744118454,-2.662955586,-1.424471414,0.214892128
22,3.031170991,0.654503075,3.120531092,0.530057678,1.119279388,1.439440235,-1.379387605,2.373562222,-1.498643684,0.418647443,-1.806609096,-1.245497083,-2.31142608,0.183484999,-1.595008657,0.837170669,-2.195758786,0.661346029,-2.876643627,-1.482968088,-1.572676355,-1.168944843,1.671970786,3.915118741,1.366087321,0.947612058,-0.657171884,1.167439733,2.351275182,0.525366582,1.263479886,-1.973142161,0.308548912,-5.591446301,-0.894732241,-1.684320902,0.337955568,1.47926916,2.229351905,1.324498939,5.291425004,4.452858561,-1.28999751,1.62660939,0.360013127,0.550359356,1.077488311,2.553936662,0.195624663,5.007294981,-1.993128976,-1.876254863,-0.969361805,-4.767193947,-3.182026343,0.779378111,-0.265485734,-1.486500357,-1.914511793,-0.003059644,0.204844201,-2.114636564,-0.500801548,1.795076039,-1.723062477,2.890702025,1.905986943,0.823465899,-1.69078007,-2.996285054,-0.705953093,0.910687636
33,1.053510294,0.100747334,2.645315613,-1.361369357,2.481096628,2.101704901,-0.540111561,3.006299635,-1.083392784,-0.171992503,-1.993043398,0.4530256,-1.60719956,0.729607627,-2.151231542,0.321792388,-2.565805362,3.080531427,-2.894654391,-1.328428569,-0.721126788,-1.969299434,1.237593394,4.143635293,0.449977364,0.627938956,-0.241947653,0.749258905,3.249759289,-0.137319864,2.583954307,-3.368560843,0.153034151,-4.579266788,0.175955609,-1.769418799,-0.671442669,0.743305421,2.75635928,1.43392666,4.743960551,3.90783855,-1.396902791,1.995928516,1.495370504,0.71757404,1.409915791,2.617829327,-1.54150842,5.552645767,1.311593438,-2.189144299,-0.949691244,-5.922046441,-2.019943146,0.216942481,-0.105468484,-1.885933313,-3.54898319,0.472364793,0.456100869,-2.232327208,-0.075096165,2.896340861,-1.965902773,2.061027196,2.076657102,0.527095772,-1.265770138,-2.124096908,0.421512115,1.471475499
